,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NVDA241004P00050000,2024-09-27 19:58:17+00:00,50.0,0.01,0.0,0.01,0.0,0.0,18052.0,4759,2.0625048437499998,False,REGULAR,USD
1,NVDA241004P00055000,2024-09-27 19:59:52+00:00,55.0,0.01,0.0,0.01,0.0,0.0,10014.0,1165,1.8125009374999999,False,REGULAR,USD
2,NVDA241004P00060000,2024-09-27 19:31:24+00:00,60.0,0.01,0.01,0.02,0.0,0.0,6548.0,4797,1.8125009374999999,False,REGULAR,USD
3,NVDA241004P00065000,2024-09-27 19:57:21+00:00,65.0,0.02,0.0,0.03,0.01,100.0,8913.0,19247,1.609376953125,False,REGULAR,USD
4,NVDA241004P00067000,2024-09-27 19:50:47+00:00,67.0,0.03,0.02,0.03,0.02,200.0,8490.0,31260,1.625001875,False,REGULAR,USD
5,NVDA241004P00068000,2024-09-27 19:32:30+00:00,68.0,0.03,0.0,0.03,0.02,200.0,8351.0,13387,1.5000025,False,REGULAR,USD
6,NVDA241004P00069000,2024-09-27 19:58:51+00:00,69.0,0.03,0.0,0.03,0.02,200.0,6205.0,11475,1.46875265625,False,REGULAR,USD
7,NVDA241004P00070000,2024-09-27 19:53:46+00:00,70.0,0.03,0.02,0.04,0.02,200.0,4494.0,9378,1.5390648046875,False,REGULAR,USD
8,NVDA241004P00071000,2024-09-27 19:57:47+00:00,71.0,0.03,0.0,0.04,0.02,200.0,4309.0,3725,1.4375028125,False,REGULAR,USD
9,NVDA241004P00072000,2024-09-27 19:59:18+00:00,72.0,0.03,0.02,0.16,0.02,200.0,3571.0,732,1.671876640625,False,REGULAR,USD
10,NVDA241004P00073000,2024-09-27 19:43:19+00:00,73.0,0.03,0.0,0.14,0.02,200.0,6508.0,634,1.5781271093749998,False,REGULAR,USD
11,NVDA241004P00074000,2024-09-27 19:53:54+00:00,74.0,0.03,0.0,0.04,0.01,50.0,1939.0,2494,1.3359408203124996,False,REGULAR,USD
12,NVDA241004P00075000,2024-09-27 19:49:53+00:00,75.0,0.03,0.01,0.04,0.02,200.0,587.0,3703,1.3281283593749997,False,REGULAR,USD
13,NVDA241004P00076000,2024-09-27 19:29:04+00:00,76.0,0.04,0.01,0.05,0.03,300.0,1605.0,2746,1.3281283593749997,False,REGULAR,USD
14,NVDA241004P00077000,2024-09-27 19:55:14+00:00,77.0,0.04,0.01,0.14,0.02,100.0,557.0,1269,1.4453152734375,False,REGULAR,USD
15,NVDA241004P00078000,2024-09-27 19:31:36+00:00,78.0,0.04,0.01,0.14,0.03,300.0,290.0,2237,1.40625296875,False,REGULAR,USD
16,NVDA241004P00079000,2024-09-27 19:57:33+00:00,79.0,0.04,0.03,0.05,0.02,100.0,572.0,1106,1.2656286718749998,False,REGULAR,USD
17,NVDA241004P00080000,2024-09-27 19:56:42+00:00,80.0,0.04,0.02,0.04,0.01,33.333336,377.0,6024,1.1953165234375,False,REGULAR,USD
18,NVDA241004P00081000,2024-09-27 18:27:30+00:00,81.0,0.03,0.02,0.04,0.01,50.0,2246.0,1915,1.15625421875,False,REGULAR,USD
19,NVDA241004P00082000,2024-09-27 19:59:37+00:00,82.0,0.04,0.03,0.04,0.02,100.0,274.0,1494,1.1484417578125,False,REGULAR,USD
20,NVDA241004P00083000,2024-09-27 19:50:33+00:00,83.0,0.04,0.03,0.14,0.02,100.0,4657.0,5196,1.2500037499999999,False,REGULAR,USD
21,NVDA241004P00084000,2024-09-27 19:38:34+00:00,84.0,0.05,0.01,0.05,0.030000001,150.00002,7118.0,8299,1.0625046875000002,False,REGULAR,USD
22,NVDA241004P00085000,2024-09-27 19:40:11+00:00,85.0,0.05,0.02,0.05,0.030000001,150.00002,4112.0,6274,1.0546922265625,False,REGULAR,USD
23,NVDA241004P00086000,2024-09-27 19:57:56+00:00,86.0,0.05,0.02,0.05,0.020000001,66.66667,4279.0,2289,1.0234423828125,False,REGULAR,USD
24,NVDA241004P00087000,2024-09-27 19:11:34+00:00,87.0,0.05,0.04,0.14,0.020000001,66.66667,1231.0,4962,1.12109814453125,False,REGULAR,USD
25,NVDA241004P00088000,2024-09-27 19:51:09+00:00,88.0,0.05,0.04,0.1,0.020000001,66.66667,4304.0,981,1.0468797656250002,False,REGULAR,USD
26,NVDA241004P00089000,2024-09-27 19:50:33+00:00,89.0,0.05,0.05,0.06,0.010000002,25.000006,773.0,8275,0.98437515625,False,REGULAR,USD
27,NVDA241004P00090000,2024-09-27 19:53:02+00:00,90.0,0.06,0.04,0.06,0.02,50.0,9709.0,14093,0.9414068359375,False,REGULAR,USD
28,NVDA241004P00091000,2024-09-27 19:12:20+00:00,91.0,0.05,0.05,0.12,0.020000001,66.66667,14151.0,3810,0.9765627343750001,False,REGULAR,USD
29,NVDA241004P00092000,2024-09-27 19:58:38+00:00,92.0,0.07,0.05,0.08,0.030000001,75.00001,6219.0,3067,0.9101571484375,False,REGULAR,USD
30,NVDA241004P00093000,2024-09-27 19:51:33+00:00,93.0,0.07,0.06,0.07,0.030000001,75.00001,1181.0,1829,0.8789074609374999,False,REGULAR,USD
31,NVDA241004P00094000,2024-09-27 19:55:00+00:00,94.0,0.07,0.05,0.12,0.02,39.999996,4479.0,1898,0.8808605664062499,False,REGULAR,USD
32,NVDA241004P00095000,2024-09-27 19:55:43+00:00,95.0,0.07,0.06,0.13,0.030000001,75.00001,1577.0,4963,0.8632826171875,False,REGULAR,USD
33,NVDA241004P00096000,2024-09-27 19:46:52+00:00,96.0,0.07,0.06,0.08,0.02,39.999996,1099.0,2005,0.7949239257812499,False,REGULAR,USD
34,NVDA241004P00097000,2024-09-27 19:52:08+00:00,97.0,0.07,0.07,0.08,0.02,39.999996,1174.0,1230,0.77148666015625,False,REGULAR,USD
35,NVDA241004P00098000,2024-09-27 19:58:42+00:00,98.0,0.07,0.06,0.08,0.010000002,16.66667,5379.0,6779,0.73437765625,False,REGULAR,USD
36,NVDA241004P00099000,2024-09-27 19:59:07+00:00,99.0,0.09,0.07,0.09,0.030000005,50.00001,891.0,1790,0.71679970703125,False,REGULAR,USD
37,NVDA241004P00100000,2024-09-27 19:59:55+00:00,100.0,0.09,0.08,0.09,0.020000003,28.571432,9927.0,16880,0.69336244140625,False,REGULAR,USD
38,NVDA241004P00101000,2024-09-27 19:59:56+00:00,101.0,0.09,0.08,0.1,0.020000003,28.571432,1745.0,6143,0.6679720703125002,False,REGULAR,USD
39,NVDA241004P00102000,2024-09-27 19:56:51+00:00,102.0,0.1,0.09,0.1,0.030000001,42.857143,1668.0,5246,0.6425816992187501,False,REGULAR,USD
40,NVDA241004P00103000,2024-09-27 19:54:49+00:00,103.0,0.11,0.09,0.11,0.030000001,37.500004,763.0,2796,0.6171913281250001,False,REGULAR,USD
41,NVDA241004P00104000,2024-09-27 19:53:23+00:00,104.0,0.12,0.1,0.12,0.029999994,33.333324,2002.0,2997,0.59570716796875,False,REGULAR,USD
42,NVDA241004P00105000,2024-09-27 19:59:43+00:00,105.0,0.13,0.12,0.13,0.029999994,29.999992,9382.0,9522,0.57812921875,False,REGULAR,USD
43,NVDA241004P00106000,2024-09-27 19:58:57+00:00,106.0,0.14,0.13,0.14,0.020000003,16.66667,1403.0,3674,0.5546919531250001,False,REGULAR,USD
44,NVDA241004P00107000,2024-09-27 19:59:53+00:00,107.0,0.16,0.15,0.18,0.0,0.0,3963.0,2657,0.5429733203125001,False,REGULAR,USD
45,NVDA241004P00108000,2024-09-27 19:58:42+00:00,108.0,0.19,0.18,0.22,0.03999999,26.666658,2568.0,15850,0.5312546875,False,REGULAR,USD
46,NVDA241004P00109000,2024-09-27 19:59:12+00:00,109.0,0.24,0.22,0.26,0.06999999,41.176464,5594.0,14164,0.51758294921875,False,REGULAR,USD
47,NVDA241004P00110000,2024-09-27 19:59:53+00:00,110.0,0.28,0.28,0.3,0.08,39.999996,32418.0,25485,0.5048877636718749,False,REGULAR,USD
48,NVDA241004P00111000,2024-09-27 19:59:50+00:00,111.0,0.36,0.34,0.36,0.12000002,50.00001,3836.0,3782,0.49609878906250005,False,REGULAR,USD
49,NVDA241004P00112000,2024-09-27 19:59:58+00:00,112.0,0.43,0.43,0.46,0.14000002,48.27587,14445.0,6812,0.49170430175781255,False,REGULAR,USD
50,NVDA241004P00113000,2024-09-27 19:59:52+00:00,113.0,0.55,0.53,0.59,0.19,52.777775,7992.0,5013,0.4892629199218751,False,REGULAR,USD
51,NVDA241004P00114000,2024-09-27 19:59:59+00:00,114.0,0.68,0.62,0.72,0.23000002,51.111115,9621.0,7233,0.47998566894531247,False,REGULAR,USD
52,NVDA241004P00115000,2024-09-27 19:59:58+00:00,115.0,0.83,0.83,0.86,0.27999997,50.909084,42010.0,19205,0.4672904833984375,False,REGULAR,USD
53,NVDA241004P00116000,2024-09-27 19:59:56+00:00,116.0,1.05,1.04,1.06,0.39999998,61.53846,14131.0,10355,0.4611870288085938,False,REGULAR,USD
54,NVDA241004P00117000,2024-09-27 19:59:55+00:00,117.0,1.3,1.2,1.36,0.46999997,56.626503,16217.0,6149,0.46655806884765627,False,REGULAR,USD
55,NVDA241004P00118000,2024-09-27 19:59:57+00:00,118.0,1.56,1.55,1.6,0.54999995,54.45544,24384.0,8558,0.45361874511718747,False,REGULAR,USD
56,NVDA241004P00119000,2024-09-27 19:59:49+00:00,119.0,1.93,1.82,1.95,0.6999999,56.91056,27490.0,9274,0.45166563964843753,False,REGULAR,USD
57,NVDA241004P00120000,2024-09-27 19:59:55+00:00,120.0,2.32,2.25,2.33,0.77,49.67742,57644.0,17575,0.4467828759765625,False,REGULAR,USD
58,NVDA241004P00121000,2024-09-27 19:59:53+00:00,121.0,2.76,2.63,2.85,0.90999997,49.189186,31794.0,9395,0.45508357421875,False,REGULAR,USD
59,NVDA241004P00122000,2024-09-27 19:59:54+00:00,122.0,3.2,3.2,3.3,0.99,44.79638,14289.0,5526,0.44482977050781247,True,REGULAR,USD
60,NVDA241004P00123000,2024-09-27 19:59:56+00:00,123.0,3.78,3.75,3.85,1.1099999,41.57303,13293.0,7243,0.4419001123046875,True,REGULAR,USD
61,NVDA241004P00124000,2024-09-27 19:59:21+00:00,124.0,4.45,4.35,4.45,1.3499999,43.548386,4752.0,12613,0.43848217773437503,True,REGULAR,USD
62,NVDA241004P00125000,2024-09-27 19:59:42+00:00,125.0,5.15,4.95,5.4,1.6000001,45.070427,7098.0,7674,0.48389187988281257,True,REGULAR,USD
63,NVDA241004P00126000,2024-09-27 19:58:26+00:00,126.0,5.8,5.5,6.05,1.6000004,38.09525,3374.0,2004,0.47485876708984376,True,REGULAR,USD
64,NVDA241004P00127000,2024-09-27 19:53:59+00:00,127.0,6.35,6.0,6.6,1.5499997,32.29166,3580.0,2514,0.4382380395507813,True,REGULAR,USD
65,NVDA241004P00128000,2024-09-27 19:56:41+00:00,128.0,7.3,6.8,7.75,1.8500004,33.94496,474.0,1221,0.5090381127929688,True,REGULAR,USD
66,NVDA241004P00129000,2024-09-27 19:15:26+00:00,129.0,8.1,7.65,8.6,1.8300004,29.18661,233.0,475,0.5195360546875,True,REGULAR,USD
67,NVDA241004P00130000,2024-09-27 19:59:00+00:00,130.0,9.03,8.65,9.35,2.1799998,31.824816,2366.0,3003,0.5024463818359376,True,REGULAR,USD
68,NVDA241004P00131000,2024-09-27 19:26:51+00:00,131.0,9.9,9.6,10.3,2.1999998,28.571426,246.0,252,0.52539537109375,True,REGULAR,USD
69,NVDA241004P00132000,2024-09-27 19:41:17+00:00,132.0,10.71,10.4,11.3,1.96,22.400002,97.0,368,0.559574716796875,True,REGULAR,USD
70,NVDA241004P00133000,2024-09-27 19:29:41+00:00,133.0,12.7,11.0,12.35,3.3499994,35.82887,374.0,159,0.6059609716796877,True,REGULAR,USD
71,NVDA241004P00134000,2024-09-27 19:41:07+00:00,134.0,13.39,11.95,13.45,3.1600008,30.88955,26.0,143,0.6650424121093752,True,REGULAR,USD
72,NVDA241004P00135000,2024-09-27 19:59:57+00:00,135.0,13.72,13.25,14.15,2.54,22.719141,52.0,1141,0.6132851171875001,True,REGULAR,USD
73,NVDA241004P00136000,2024-09-27 16:22:24+00:00,136.0,15.68,13.9,15.45,3.5300007,29.053503,20.0,66,0.7299831689453125,True,REGULAR,USD
74,NVDA241004P00137000,2024-09-27 18:45:21+00:00,137.0,16.85,14.9,16.45,4.3,34.26295,49.0,45,0.7617211328125001,True,REGULAR,USD
75,NVDA241004P00138000,2024-09-27 17:28:00+00:00,138.0,17.66,15.85,17.4,3.0199995,20.628412,25.0,14,0.778322529296875,True,REGULAR,USD
76,NVDA241004P00139000,2024-09-27 17:43:05+00:00,139.0,17.65,17.1,18.2,2.8399992,19.176228,126.0,20,0.747072841796875,True,REGULAR,USD
77,NVDA241004P00140000,2024-09-27 19:41:15+00:00,140.0,19.28,17.85,21.1,2.2800007,13.411769,38.0,167,0.8598646826171875,True,REGULAR,USD
78,NVDA241004P00141000,2024-09-27 19:32:47+00:00,141.0,20.52,18.5,22.1,3.2700005,18.956524,31.0,103,0.8359391406249999,True,REGULAR,USD
79,NVDA241004P00142000,2024-09-27 19:40:08+00:00,142.0,21.35,19.5,22.8,2.6499996,14.171121,30.0,6,0.8125018749999999,True,REGULAR,USD
80,NVDA241004P00143000,2024-09-27 15:25:22+00:00,143.0,22.94,20.5,24.1,2.8900013,14.413972,4.0,0,0.8916026464843749,True,REGULAR,USD
81,NVDA241004P00144000,2024-09-27 18:30:27+00:00,144.0,24.6,21.45,25.1,4.58,22.877123,18.0,3,0.9106454248046875,True,REGULAR,USD
82,NVDA241004P00145000,2024-09-27 19:52:27+00:00,145.0,24.05,22.85,24.45,2.3999996,11.085448,4.0,10,0.5800823242187501,True,REGULAR,USD
83,NVDA241004P00146000,2024-09-27 18:30:27+00:00,146.0,26.6,23.45,25.45,7.050001,36.06139,6.0,10,1.0224658251953125,True,REGULAR,USD
84,NVDA241004P00147000,2024-09-27 14:12:26+00:00,147.0,24.85,24.55,28.0,3.5500011,16.666674,5.0,0,0.989257919921875,True,REGULAR,USD
85,NVDA241004P00148000,2024-09-27 19:37:14+00:00,148.0,27.65,25.9,27.2,4.0,16.91332,31.0,9,0.9868165380859376,True,REGULAR,USD
86,NVDA241004P00149000,2024-09-25 16:03:43+00:00,149.0,26.1,26.95,27.95,0.5,1.953125,7.0,0,0.8994150683593749,True,REGULAR,USD
87,NVDA241004P00150000,2024-09-27 19:36:18+00:00,150.0,29.65,28.2,29.05,3.5,13.384321,26.0,2,0.6171913281250001,True,REGULAR,USD
88,NVDA241004P00155000,2024-09-24 13:40:02+00:00,155.0,37.65,32.95,33.95,0.0,0.0,1.0,0,1.0322314013671878,True,REGULAR,USD
89,NVDA241004P00160000,2024-09-24 14:46:31+00:00,160.0,44.2,38.15,39.45,0.0,0.0,12.0,0,1.0302782861328126,True,REGULAR,USD
90,NVDA241004P00165000,2024-09-26 13:35:10+00:00,165.0,38.5,43.15,44.45,0.0,0.0,1.0,0,1.123051259765625,True,REGULAR,USD
91,NVDA241004P00170000,2024-09-16 13:31:04+00:00,170.0,53.5,48.0,49.35,0.0,0.0,1.0,0,1.0546922265625,True,REGULAR,USD
92,NVDA241004P00175000,2024-09-13 18:00:43+00:00,175.0,56.55,53.2,54.3,0.0,0.0,,0,1.2421912890624998,True,REGULAR,USD
93,NVDA241004P00180000,2024-09-12 15:16:01+00:00,180.0,61.05,58.2,59.15,0.0,0.0,,0,1.203128984375,True,REGULAR,USD
94,NVDA241004P00185000,2024-09-12 15:13:07+00:00,185.0,65.6,63.0,64.25,0.0,0.0,1.0,0,1.125004375,True,REGULAR,USD
95,NVDA241004P00190000,2024-09-12 14:02:13+00:00,190.0,71.45,68.15,69.45,0.0,0.0,,0,1.5312523437499999,True,REGULAR,USD
96,NVDA241004P00195000,2024-09-12 15:16:01+00:00,195.0,76.05,72.85,74.45,0.0,0.0,,0,1.3437532812499997,True,REGULAR,USD
97,NVDA241004P00200000,2024-09-12 13:50:10+00:00,200.0,83.5,77.85,79.45,0.0,0.0,1.0,0,1.40625296875,True,REGULAR,USD
98,NVDA241004P00205000,2024-09-27 19:45:12+00:00,205.0,84.19,82.95,84.25,2.590004,3.1740243,6.0,10,0.500005,True,REGULAR,USD
